File	Season	Rundle	Match Day	MatchID	Opponent	Result	Score	Record	Rank
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 1	10614631	Dayhoff	W	6(4)-3(2)	1-0-0	3
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 2	10631663	CookM79	L	2(2)-5(4)	1-1-0	13
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 3	10648698	SmallD	L	0(0)-5(3)	1-2-0	16
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 4	10665730	QuigleyE	L	3(2)-5(4)	1-3-0	18
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 5	10682762	Fettweis	W	3(3)-1(2)	2-3-0	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 6	10699796	BarteltR	W	6(3)-4(3)	3-3-0	10
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 7	10716828	GambillR	L	4(4)-6(4)	3-4-0	13
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 8	10733861	HutchisonC	L	1(1)-2(1)	3-5-0	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 9	10750893	HamiltonG	L	2(2)-4(4)	3-6-0	16
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 10	10767931	ConnellR	L	1(2)-7(5)	3-7-0	18
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 11	10784963	SpaughT	W	7(5)-6(3)	4-7-0	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 12	10802000	WalkerKBookworm	W	4(4)-3(3)	5-7-0	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 13	10819031	AndersonK65	L	7(4)-8(5)	5-8-0	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 14	10836061	Ellington	T	1(2)-1(2)	5-8-1	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 15	10853096	DohertyCDog	W	6(4)-5(4)	6-8-1	13
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 16	10870127	HassanL	L	3(3)-8(5)	6-9-1	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 17	10887161	LindemulderA	L	2(2)-5(3)	6-10-1	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 18	10904191	StoneE5	T	3(3)-3(3)	6-10-2	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 19	10921228	CornelyL	W	4(3)-3(2)	7-10-2	14
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 20	10938258	Dayhoff	L	3(2)-5(4)	7-11-2	15
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 21	10955290	CookM79	W	3(2)-2(2)	8-11-2	14
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 22	10972325	SmallD	W	1(2)-0(1)	9-11-2	14
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 23	10989357	QuigleyE	L	2(3)-5(4)	9-12-2	14
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 24	11006389	Fettweis	W	8(4)-5(3)	10-12-2	14
LL Profile_ MiltonM.htm	LL105 Results	Rundle C Central Div 2	Match Day 25	11023423	BarteltR	T	9(5)-9(5)	10-12-3	15
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 1	10193187	NatarajanS	W	6(4)-0(F)	1-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 2	10210046	CalderR	W	6(3)-3(3)	2-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 3	10226905	KastnerN	W	5(3)-1(2)	3-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 4	10243764	AnagnosM	W	5(4)-3(3)	4-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 5	10260623	MurphyB23	W	4(3)-2(1)	5-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 6	10277481	CornelyL	W	4(3)-3(2)	6-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 7	10294338	DobsonD	W	3(3)-1(2)	7-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 8	10311195	EmerickB	W	4(3)-3(3)	8-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 9	10328052	SpaughT	W	4(3)-3(3)	9-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 10	10344909	BrazeauB	W	7(4)-4(2)	10-0-0	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 11	10361766	TestermanH	T	6(4)-6(4)	10-0-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 12	10378623	McQuarrieD	W	3(3)-2(1)	11-0-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 13	10395480	Mac SweeneyC	L	2(2)-3(3)	11-1-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 14	10412337	KaridesC	L	4(4)-6(4)	11-2-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 15	10429194	AglesG	W	6(3)-3(2)	12-2-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 16	10446051	RuthM	L	6(3)-7(5)	12-3-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 17	10462908	Eric	W	6(5)-4(4)	13-3-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 18	10479765	BurkholderA	L	2(1)-4(4)	13-4-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 19	10496624	LorenzoR2	W	6(4)-2(2)	14-4-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 20	10513483	ArcherK	L	2(2)-4(3)	14-5-1	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 21	10530342	AnilM	T	4(4)-4(4)	14-5-2	1
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 22	10547201	HammerE	L	1(1)-5(3)	14-6-2	2
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 23	10564060	KleinM1968	W	4(3)-2(2)	15-6-2	2
LL Profile_ MiltonM.htm	LL104 Results	Rundle D Central Div 2	Match Day 24	10580919	ChessinR	W	2(1)-0(F)	16-6-2	1
